experiment_id,model,domain,metric,best_score,eval_score,best_iteration,run_completed,symfluence_version,code_commit,collected_at
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_dds/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T03:10:39Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_de/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T03:15:19Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_dream/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T03:20:24Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_ga/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T03:25:50Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_glue/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T03:30:56Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_lbfgs/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T03:36:11Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_moead/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T13:09:14Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_nelder_mead/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T13:29:02Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_nsga2/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T13:44:48Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
domain_Bow_at_Banff_lumped_calibration_ensemble:catchment/lumped/cal_ensemble_hechms_pso/Bow_at_Banff_lumped_calibration_ensemble_HRUs_GRUs.shp,geometry,domain_Bow_at_Banff_lumped_calibration_ensemble,n_features,1,,,2026-07-20T14:01:23Z,0.9.2,9d6bb65a,2026-07-21T14:31:14Z
